match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,series_id,series_type,radiant_score,dire_score,radiant_win,radiant,leagueid,name
3281917774,2003,1498758634,26,MOUZ,4593831,Planet Dog,146651,2,16,32,False,,5401,The International 2017
3281979282,2184,1498761532,3477208,Midas Club ,3715574,SG e-sports team,146682,1,14,28,False,,5401,The International 2017
3282010340,2849,1498762967,3,compLexity Gaming,4251435,w33ha earthspirit,146689,1,26,17,True,,5401,The International 2017
3282062366,2778,1498765363,3715574,SG e-sports team,3477208,Midas Club ,146682,1,30,23,True,,5401,The International 2017
3282263076,3442,1498776662,2512249,123,3,compLexity Gaming,146719,1,37,27,True,,5401,The International 2017
3282839690,1982,1498808178,15,LGD Gaming,2626685,KEEN GAMING,146771,1,27,16,True,,5401,The International 2017
3351973181,2121,1501689948,15,LGD Gaming,350190,Ascent Esports,153104,1,35,15,True,,5401,The International 2017
3352043080,2189,1501693514,2108395,TNC Predator,39,Shopify Rebellion,153102,1,31,23,True,,5401,The International 2017
3352100275,1366,1501696687,1883502,Virtus.pro,2512249,123,153121,1,13,6,True,,5401,The International 2017
3352140562,1539,1501699072,5,Invictus Gaming,1375614,Newbee,153125,1,2,14,False,,5401,The International 2017
3352363731,2193,1501713059,2586976,OG,2512249,123,153139,1,9,36,False,,5401,The International 2017
3352382741,1690,1501714687,1333179,,1375614,Newbee,153141,1,7,18,False,,5401,The International 2017
3352383050,2198,1501714791,2581813,Execration.安博电竞,1883502,Virtus.pro,153136,1,16,34,False,,5401,The International 2017
3352427223,1560,1501718561,2108395,TNC Predator,350190,Ascent Esports,153145,1,29,11,True,,5401,The International 2017
3353838092,939,1501780477,1883502,Virtus.pro,3331948,LGD.Forever Young,153216,1,3,17,False,,5401,The International 2017
3353841477,3120,1501780495,2581813,Execration.安博电竞,1846548,HellRaisers,153217,1,28,44,False,,5401,The International 2017
3353935410,2034,1501785042,2163,Team Liquid,2672298,NoPing Esports,153243,1,33,32,True,,5401,The International 2017
3354101340,1933,1501794365,1333179,,1883502,Virtus.pro,153258,1,16,7,True,,5401,The International 2017
3354210396,1965,1501801673,15,LGD Gaming,2163,Team Liquid,153276,1,29,14,True,,5401,The International 2017
3354333670,1845,1501811677,1333179,,3331948,LGD.Forever Young,153286,1,14,27,False,,5401,The International 2017
3355653623,2197,1501862456,46,Team Empire,350190,Ascent Esports,153377,1,33,21,True,,5401,The International 2017
3355760651,3093,1501866460,1838315,Team Secret,39,Shopify Rebellion,153375,1,39,25,True,,5401,The International 2017
3355853872,2530,1501870769,1333179,,5,Invictus Gaming,153403,1,21,19,False,,5401,The International 2017
3355944219,2984,1501874957,1333179,,5,Invictus Gaming,153403,1,15,33,False,,5401,The International 2017
3356035808,2392,1501879387,2672298,NoPing Esports,39,Shopify Rebellion,153415,1,7,33,False,,5401,The International 2017
3356160859,1602,1501887511,3331948,LGD.Forever Young,2512249,123,153436,1,23,9,True,,5401,The International 2017
3356251885,2362,1501894353,46,Team Empire,2163,Team Liquid,153450,1,18,41,False,,5401,The International 2017
3356461133,1697,1501906005,350190,Ascent Esports,2640025,iG.Vitality,153461,1,10,26,False,,5401,The International 2017
3357766680,2138,1501948822,1375614,Newbee,1883502,Virtus.pro,153587,1,26,11,True,,5401,The International 2017
3357776843,1749,1501949220,5,Invictus Gaming,1846548,HellRaisers,153588,1,19,9,True,,5401,The International 2017
3357892393,2677,1501952465,1883502,Virtus.pro,1375614,Newbee,153587,1,30,19,True,,5401,The International 2017
3357952027,3135,1501954675,1333179,,2512249,123,153589,1,29,24,True,,5401,The International 2017
3357974421,1470,1501955545,350190,Ascent Esports,39,Shopify Rebellion,153615,1,4,30,False,,5401,The International 2017
3358105051,3499,1501961201,1375614,Newbee,2512249,123,153628,1,28,37,True,,5401,The International 2017
3358299746,2671,1501971354,1883502,Virtus.pro,5,Invictus Gaming,153649,1,29,24,True,,5401,The International 2017
3362390555,3169,1502144075,39,Shopify Rebellion,1375614,Newbee,154005,1,28,25,False,,5401,The International 2017
3364267872,1676,1502230610,1838315,Team Secret,2163,Team Liquid,154117,1,30,7,True,,5401,The International 2017
3364409216,3617,1502241969,46,Team Empire,39,Shopify Rebellion,154121,1,41,18,True,,5401,The International 2017
3366042233,1362,1502308610,15,LGD Gaming,2512249,123,154245,1,20,15,True,,5401,The International 2017
3366166505,2885,1502316006,5,Invictus Gaming,1375614,Newbee,154253,1,21,31,False,,5401,The International 2017
3372269708,3472,1502559236,3331948,LGD.Forever Young,2163,Team Liquid,154772,1,48,17,True,,5401,The International 2017
3372386596,1880,1502564344,2163,Team Liquid,3331948,LGD.Forever Young,154772,1,31,17,True,,5401,The International 2017
3372676225,2051,1502579588,2163,Team Liquid,1375614,Newbee,154805,2,21,22,True,,5401,The International 2017
3364482110,3164,1502247077,46,Team Empire,39,Shopify Rebellion,154121,1,33,30,True,,5401,The International 2017
3279800052,8430,1498668807,46,Team Empire,2006913,Vega Squadron,146511,1,43,51,True,,5401,The International 2017
3355859622,2029,1501870956,3331948,LGD.Forever Young,1375614,Newbee,153405,1,34,11,True,,5401,The International 2017
3275810358,2261,1498496467,464103,Danish Bears,3152713,4 protect five,0,0,29,15,True,,5401,The International 2017
3357885749,1642,1501952142,2586976,OG,2581813,Execration.安博电竞,153591,1,19,9,True,,5401,The International 2017
3279449712,2610,1498657868,2626685,KEEN GAMING,1520578,GGGGGGGG,0,0,11,27,False,,5401,The International 2017
3278279523,1552,1498605906,4372042,Team Freedom,2512249,123,0,0,28,4,True,,5401,The International 2017
3278114602,2053,1498595186,3786981,AnTHRAX,4151852,Elite Wolves ,0,0,19,28,False,,5401,The International 2017
3358109772,1584,1501961325,2163,Team Liquid,1838315,Team Secret,153620,1,29,16,True,,5401,The International 2017
3372726385,2719,1502583177,1375614,Newbee,2163,Team Liquid,154805,2,17,27,False,,5401,The International 2017
3355640875,1611,1501862527,15,LGD Gaming,2672298,NoPing Esports,153374,1,23,9,True,,5401,The International 2017
3367820228,2042,1502386069,46,Team Empire,2163,Team Liquid,154383,1,25,24,False,,5401,The International 2017
3356083896,7688,1501882257,46,Team Empire,2640025,iG.Vitality,153422,1,46,54,False,,5401,The International 2017
3356007093,1315,1501878341,1838315,Team Secret,350190,Ascent Esports,153421,1,29,2,True,,5401,The International 2017
3275011120,1877,1498471771,1838315,Team Secret,4328182,Crescendo,0,0,18,11,True,,5401,The International 2017
3274393974,1988,1498446092,2581813,Execration.安博电竞,350190,Ascent Esports,0,0,17,37,False,,5401,The International 2017
3372455628,2931,1502567606,2163,Team Liquid,3331948,LGD.Forever Young,154772,1,34,41,True,,5401,The International 2017
3356260301,2206,1501895007,15,LGD Gaming,39,Shopify Rebellion,153451,1,13,32,False,,5401,The International 2017
3372622939,1654,1502576268,1375614,Newbee,2163,Team Liquid,154805,2,13,29,False,,5401,The International 2017
3356321398,2301,1501898796,15,LGD Gaming,39,Shopify Rebellion,153451,1,31,13,True,,5401,The International 2017
3356245174,5006,1501893795,2672298,NoPing Esports,2108395,TNC Predator,153443,1,34,56,False,,5401,The International 2017
3369930606,1714,1502475590,15,LGD Gaming,5,Invictus Gaming,154547,1,17,8,True,,5401,The International 2017
3367983348,3327,1502393943,15,LGD Gaming,2586976,OG,154397,1,33,37,True,,5401,The International 2017
3279029922,2530,1498644761,4186376,Team Singularity,464103,Danish Bears,146471,1,18,38,False,,5401,The International 2017
3352416060,2240,1501717847,1375614,Newbee,1333179,,153141,1,20,21,True,,5401,The International 2017
3366419778,3166,1502334252,1883502,Virtus.pro,3331948,LGD.Forever Young,154273,1,30,39,False,,5401,The International 2017
3354345479,4076,1501812586,1883502,Virtus.pro,2586976,OG,153287,1,63,25,True,,5401,The International 2017
3352200165,3190,1501702344,1375614,Newbee,5,Invictus Gaming,153125,1,28,46,False,,5401,The International 2017
3353837163,2411,1501780417,2512249,123,5,Invictus Gaming,153221,1,10,21,False,,5401,The International 2017
3282475291,2581,1498790882,4372042,Team Freedom,2512249,123,146735,2,15,32,False,,5401,The International 2017
3277457495,2782,1498571072,3326875,Faceless,4425527,Geek Fam,0,0,30,38,False,,5401,The International 2017
3277928310,2013,1498586759,3704482,SK-_-'iter (evil)!,4328182,Crescendo,0,0,15,39,False,,5401,The International 2017
3278401845,1798,1498615229,4646830,FTD.a,3325252,Team Max,0,0,26,8,True,,5401,The International 2017
3276013632,1717,1498505032,36,Natus Vincere,46,Team Empire,0,0,14,27,False,,5401,The International 2017
3275933008,2094,1498501523,3152713,4 protect five,3704482,SK-_-'iter (evil)!,0,0,10,26,False,,5401,The International 2017
3278082996,2329,1498593633,464103,Danish Bears,4703773,Cool Beans,0,0,41,26,True,,5401,The International 2017
3274329415,1760,1498442495,3725701,Happy  Feet,4425527,Geek Fam,0,0,12,25,False,,5401,The International 2017
3362247584,2405,1502134969,2163,Team Liquid,5,Invictus Gaming,153967,1,14,42,False,,5401,The International 2017
3277054034,2091,1498558827,1964407,Comanche,4100699,APB,0,0,31,34,False,,5401,The International 2017
3278008510,1457,1498590202,1838315,Team Secret,3704482,SK-_-'iter (evil)!,0,0,29,14,True,,5401,The International 2017
3276393537,2113,1498528808,2581813,Execration.安博电竞,3326875,Faceless,0,0,33,18,True,,5401,The International 2017
3275405570,2429,1498484015,3326875,Faceless,2108395,TNC Predator,0,0,14,40,False,,5401,The International 2017
3280962519,2538,1498728496,3331948,LGD.Forever Young,2626685,KEEN GAMING,146615,1,35,13,True,,5401,The International 2017
3278815320,2543,1498636739,3659536,Clutch Gamers,350190,Ascent Esports,146467,1,17,41,False,,5401,The International 2017
3279270347,3377,1498652751,46,Team Empire,2621843,Team. Spirit,146493,1,33,23,True,,5401,The International 2017
